ID	Date	Offer1	Offer2	OfferDM1	OfferDM2	Refusal1	Refusal2	DMI	Breed	Parityt	month	Treatment
2297	01/11/2001	145.6883333	56.32333333	0.9221	0.901	0	0	6.068411	1	3	9	3
2297	01/12/2001	145.1209677	56.27741935	0.9221	0.901	0.029032258	0	6.023130968	1	3	10	3
2297	01/01/2002	142.9564516	54.9	0.9221	0.901	0.051612903	0	5.896179677	1	3	11	3
2297	01/02/2002	153.1535714	59.14821429	0.9221	0.901	0	0	6.377555714	1	3	12	3
2297	01/03/2002	170.8983871	65.62419355	0.9221	0.901	0	0	7.105337742	1	3	13	3
2297	01/04/2002	177.51	68.93	0.9221	0.901	0	0	7.402882	1	3	14	3
2297	01/05/2002	183.3935484	70.15	0.9221	0.901	0	0	7.616798065	1	3	15	3
2297	01/06/2002	190.93	73.40333333	0.9221	0.901	0	0	7.940752667	1	3	16	3
2297	01/07/2002	199.9225806	77.43064516	0.903	0.8948	0	0	8.190656774	1	3	17	3
2297	01/08/2002	215.40625	81.96875	0.903	0.8948	0	0	8.7822125	1	3	18	3
2315	01/06/1999	128.1	48.8	0.9221	0.901	0.033333333	0	5.283683333	1	1	1	1
2315	01/07/1999	103.0112903	40.14193548	0.903	0.8948	0	0	4.227481935	1	1	2	1
2315	01/08/1999	95.14032258	36.6	0.903	0.8948	0	0	3.890537419	1	1	3	1
2315	01/09/1999	95.87166667	36.6	0.903	0.8948	0	0	3.91219	1	1	4	1
2315	01/10/1999	97.79677419	36.79677419	0.9221	0.901	0	0	4.043681935	1	1	5	1
2315	01/11/1999	100.955	39.65	0.9221	0.901	0	0	4.223451	1	1	6	1
2315	01/12/1999	103.7	39.65	0.9221	0.901	0	0	4.30644	1	1	7	1
2315	01/01/2000	104.683871	39.65	0.9221	0.901	0	0	4.336185161	1	1	8	1
2315	01/02/2000	106.75	41.22758621	0.9221	0.901	0	0	4.445253448	1	1	9	1
2315	01/03/2000	109.5048387	42.40483871	0.9221	0.901	0.148387097	0	4.426489355	1	1	10	1
2315	01/04/2000	113.0533333	44.225	0.9221	0.901	0.04	0	4.687483333	1	1	11	1
