ID	Parity	Treatment	month	DM	ME	GE	FME	CP	ADIN	DMD	a	b	c	NDF
2297	2	3	3	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	2	3	4	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	2	3	5	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	2	3	6	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	2	3	7	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	2	3	8	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	2	3	9	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	2	3	10	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	2	3	11	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	1	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	2	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	3	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	4	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	5	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	6	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	7	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	8	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	9	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	10	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	11	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	12	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	13	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	14	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	15	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	16	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	17	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2297	3	3	18	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	1	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	2	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	3	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	4	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	5	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	6	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	7	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	8	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	9	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	10	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	11	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	12	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	13	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	14	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	1	1	15	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	1	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	2	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	3	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	4	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	5	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	6	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	7	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	8	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	9	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	10	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	11	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	12	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	13	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	14	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	15	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	16	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	17	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	2	1	18	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	3	1	1	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	3	1	2	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	3	1	3	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	3	1	4	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	3	1	5	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2315	3	1	6	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	1	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	2	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	3	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	4	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	5	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	6	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	7	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	8	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	9	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	10	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	11	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	12	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	13	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	14	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	15	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	16	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	17	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	18	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	19	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	20	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	21	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	22	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	23	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	24	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	25	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	1	1	26	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	1	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	2	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	3	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	4	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	5	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	6	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	7	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	8	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	9	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	10	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	11	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	12	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	13	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	14	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	2	1	15	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	3	1	1	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	3	1	2	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2321	3	1	3	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	1	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	2	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	3	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	4	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	5	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	6	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	7	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	8	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	9	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	10	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	11	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	12	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	13	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	14	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	15	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	16	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	17	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	18	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	19	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	20	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	1	2	21	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	1	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	2	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	3	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	4	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	5	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	6	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	7	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	8	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	9	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	10	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	11	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	12	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	13	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	14	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	15	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	16	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	17	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2323	2	2	18	0.901	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2324	1	1	1	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
2324	1	1	2	0.8948	11	17.9	11	160	0.5	0.78	0.3	0.6	0.15	446
