ID	Parity	Treatment	month	DM	ME	GE	FME	CP	ADIN	DMD	a	b	c	NDF
2297	5	3	5	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	6	3	6	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	7	3	7	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	8	3	8	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	9	3	9	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	10	3	10	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	11	3	11	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	1	3	1	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	2	3	2	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	3	3	3	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	4	3	4	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	5	3	5	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	6	3	6	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	7	3	7	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	8	3	8	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	9	3	9	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	10	3	10	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	11	3	11	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	12	3	12	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	13	3	13	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	14	3	14	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	15	3	15	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	16	3	16	922.1	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	17	3	17	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2297	18	3	18	903	9.6	17.4	9.6	45	1.3	0.437254902	0.22	0.26	0.08	752
2315	1	1	1	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	2	1	2	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	3	1	3	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	4	1	4	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	5	1	5	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	6	1	6	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	7	1	7	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	8	1	8	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	9	1	9	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	10	1	10	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	11	1	11	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	12	1	12	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	13	1	13	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	14	1	14	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	15	1	15	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	1	1	1	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	2	1	2	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	3	1	3	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	4	1	4	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	5	1	5	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	6	1	6	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
