ID	Parity	Treatment	month	Offer1	Offer2
2321	2	1	14	134.6066667	51.85
2321	2	1	15	137.25	51.85
2321	3	1	1	126.0666667	48.59666667
2321	3	1	2	118.7532258	46.93064516
2321	3	1	3	140.3	55.6625
2323	1	2	1	150.8660714	58.05892857
2323	1	2	2	131.6419355	51.85
2323	1	2	3	126.7783333	49.00333333
2323	1	2	4	124.7548387	48.8
2323	1	2	5	122	46.86833333
2323	1	2	6	121.2129032	45.75
2323	1	2	7	118.95	45.75
2323	1	2	8	117.6283333	45.75
2323	1	2	9	118.6548387	45.75
2323	1	2	10	118.035	46.055
2323	1	2	11	122	46.73387097
2323	1	2	12	122	48.11129032
2323	1	2	13	125.1551724	47.74827586
2323	1	2	14	123.3774194	47.12741935
2323	1	2	15	122.1016667	47.275
2323	1	2	16	124.6564516	48.8
2323	1	2	17	126.0666667	48.8
2323	1	2	18	128.9854839	48.8
2323	1	2	19	135.0854839	51.45645161
2323	1	2	20	140.4016667	54.79833333
2323	1	2	21	144.6290323	54.9
2323	2	2	1	141.215	53.985
2323	2	2	2	121.1145161	45.75
2323	2	2	3	120.3274194	45.75
2323	2	2	4	120.2571429	45.75
2323	2	2	5	120.5241935	45.75
2323	2	2	6	118.95	45.75
2323	2	2	7	118.95	45.75
2323	2	2	8	121.2883333	45.75
2323	2	2	9	120.9177419	45.75
2323	2	2	10	123.0822581	47.12741935
2323	2	2	11	125.2533333	48.8
2323	2	2	12	124.8532258	48.8
2323	2	2	13	127.8966667	48.8
2323	2	2	14	131.5435484	50.17741935
2323	2	2	15	130.7564516	48.8
2323	2	2	16	132.4571429	50.21607143
2323	2	2	17	140.5951613	54.8016129
2323	2	2	18	147.62	57.13666667
2324	1	1	1	126.7225806	49.88225806
2324	1	1	2	102.6177419	39.65
2324	1	1	3	99.32833333	39.65
2324	1	1	4	94.66730769	36.71730769
2324	1	1	5	131.15	51.85
2324	1	1	6	134.0983333	51.85
2324	1	1	7	136.3645161	52.24354839
2324	1	1	8	138.8766667	52.86666667
2324	1	1	9	141.1854839	54.11290323
2324	1	1	10	143.35	54.9
2324	1	1	11	143.35	54.9
2324	2	1	1	143.35	54.9
2324	2	1	2	112.1383333	43.10666667
2324	2	1	3	109.8	42.7
2324	2	1	4	109.8	42.7
2324	2	1	5	109.8	42.7
2324	2	1	6	109.8	42.7
2324	2	1	7	111.4266667	42.7
2324	2	1	8	111.4725806	42.7
2324	2	1	9	112.85	42.7
2324	2	1	10	113.2435484	44.07741935
2324	2	1	11	113.7354839	43.97903226
2324	2	1	12	114.375	44.225
2324	2	1	13	113.1451613	42.7983871
2324	2	1	14	117.73	44.53
2324	2	1	15	117.5725806	45.75
2324	2	1	16	116.6116667	45.75
2324	2	1	17	117.0806452	45.75
2324	2	1	18	121.61875	45.75
2327	1	3	1	217.4214286	84.41964286
2327	1	3	2	190.083871	73.69193548
2327	1	3	3	184.9316667	70.455
2327	1	3	4	186.2467742	71.62580645
2327	1	3	5	180.255	68.21833333
2327	1	3	6	177.0967742	67.88709677
2327	1	3	7	177.7854839	68.77258065
2327	1	3	8	183	70.15
2327	1	3	9	187.5258065	73.1016129
2327	1	3	10	195.4033333	75.43666667
2327	1	3	11	204.35	79.3
2327	1	3	12	211.433871	81.66129032
2327	1	3	13	213.5	82.35
2327	2	3	1	199.9225806	77.23387097
2327	2	3	2	180.3566667	68.82833333
2327	2	3	3	181.1306452	70.15
2327	2	3	4	180.6616667	70.15
2327	2	3	5	182.1145161	70.15
2327	2	3	6	177.1951613	68.77258065
2327	2	3	7	174.155	67.20166667
2327	2	3	8	175.916129	67.49354839
2327	2	3	9	177.9166667	68.72666667
2327	2	3	10	176.9	67.88709677
2327	2	3	11	181.8193548	70.83870968
2327	2	3	12	190.1892857	73.2
2327	2	3	13	199.4306452	76.1516129
2327	2	3	14	196.115	76.65666667
2327	3	3	1	166.766129	64.64032258
2327	3	3	2	173.0366667	67.1
2327	3	3	3	136.8564516	52.93225806
2327	3	3	4	166.0774194	64.05
2327	3	3	5	138.9783333	52.765
2327	3	3	6	147.9741935	56.76935484
2327	3	3	7	150.67	57.95
2327	3	3	8	152.8935484	59.32741935
2327	3	3	9	150.8274194	57.95
2327	3	3	10	163.6107143	63.61428571
2327	3	3	11	179.95	70.15
2327	3	3	12	179.95	70.15
2327	3	3	13	178.5725806	68.77258065
2327	3	3	14	180.865	70.15
2327	3	3	15	182.8032258	70.15
2327	3	3	16	183.38125	70.15
2330	1	3	1	221.2725806	85.89193548
2330	1	3	2	179.5433333	69.54
2330	1	3	3	182.1145161	70.15
2330	1	3	4	180.8354839	69.06774194
2330	1	3	5	176.9	67.1
2330	1	3	6	181.0322581	70.0516129
2330	1	3	7	182.39	70.55666667
2330	1	3	8	183.983871	71.13387097
2330	1	3	9	184.7709677	71.13387097
2330	1	3	10	184.1568966	72.04310345
2330	1	3	11	185.4596774	71.52741935
2330	1	3	12	186.2533333	71.77666667
2330	1	3	13	186.4435484	71.72419355
2330	1	3	14	189.8116667	73.2
2330	1	3	15	186.7387097	72.31451613
